KIC ID,surpassed threshold,total,ratio
2448874,2,18,0.1111111111
2575044,1,16,0.0625
2303365,1,18,0.05555555556
3348134,1,18,0.05555555556
3215815,3,18,0.1666666667
3425374,1,18,0.05555555556
2577384,1,18,0.05555555556
3340530,2,18,0.1111111111
2571417,1,18,0.05555555556
3002598,4,15,0.2666666667
2574191,4,15,0.2666666667
3240670,1,18,0.05555555556
2165811,1,18,0.05555555556
2570760,1,18,0.05555555556
3221086,4,18,0.2222222222
3322785,1,18,0.05555555556
2422635,1,18,0.05555555556
2695427,1,18,0.05555555556
3097346,2,18,0.1111111111
3216052,5,18,0.2777777778
2850010,5,16,0.3125
2300319,3,18,0.1666666667
2989404,1,18,0.05555555556
2850480,2,16,0.125
3220957,1,18,0.05555555556
1571780,1,17,0.05882352941
3335197,1,18,0.05555555556
3342658,1,18,0.05555555556
2423941,2,18,0.1111111111
2017988,2,18,0.1111111111
3216635,1,18,0.05555555556
2993958,1,18,0.05555555556
2167728,1,18,0.05555555556
3115292,1,18,0.05555555556
3356438,2,15,0.1333333333
3002959,1,15,0.06666666667
1576558,1,18,0.05555555556
2285827,1,18,0.05555555556
3097526,2,18,0.1111111111
2998124,8,18,0.4444444444
1871056,5,18,0.2777777778
1869499,1,18,0.05555555556
2718944,2,18,0.1111111111
2837174,1,18,0.05555555556
3222834,3,18,0.1666666667
3343186,1,7,0.1428571429
1872210,1,17,0.05882352941
2972401,1,5,0.2
3097912,1,18,0.05555555556
2301068,3,18,0.1666666667
2021216,2,18,0.1111111111
3099888,1,18,0.05555555556
2167743,2,18,0.1111111111
1433628,2,18,0.1111111111
3234703,2,18,0.1111111111
2571623,1,18,0.05555555556
3098965,1,18,0.05555555556
1995796,3,18,0.1666666667
2159073,1,18,0.05555555556
2306888,1,18,0.05555555556
3115669,2,18,0.1111111111
3096453,2,18,0.1111111111
2720777,2,18,0.1111111111
3102411,2,18,0.1111111111
2832295,2,18,0.1111111111
3112677,3,18,0.1666666667
3120128,1,18,0.05555555556
2283721,5,18,0.2777777778
2848887,3,16,0.1875
2580979,2,18,0.1111111111
3248627,1,4,0.25
1865262,2,18,0.1111111111
2012005,1,18,0.05555555556
3337693,2,18,0.1111111111
3346436,2,18,0.1111111111
2858216,1,8,0.125
1572156,1,18,0.05555555556
2992393,2,18,0.1111111111
2719125,1,18,0.05555555556
3348288,1,18,0.05555555556
2572323,1,7,0.1428571429
3216180,3,18,0.1666666667
2283495,4,18,0.2222222222
3342779,1,18,0.05555555556
3241248,1,18,0.05555555556
2161731,4,18,0.2222222222
2141938,1,18,0.05555555556
2831101,1,18,0.05555555556
3121940,1,18,0.05555555556
2019761,1,18,0.05555555556
3425494,3,18,0.1666666667
1163359,2,15,0.1333333333
3116538,3,18,0.1666666667
1575206,1,18,0.05555555556
2156988,1,16,0.0625
2972545,2,18,0.1111111111
3218680,1,18,0.05555555556
3329273,3,18,0.1666666667
3101129,3,18,0.1666666667
3353295,2,15,0.1333333333
3003992,1,15,0.06666666667
3098219,3,18,0.1666666667
2719928,1,18,0.05555555556
2975903,6,18,0.3333333333
2284211,1,18,0.05555555556
2714096,4,18,0.2222222222
3352378,2,15,0.1333333333
1292087,1,18,0.05555555556
2854795,1,18,0.05555555556
3222519,1,18,0.05555555556
2865026,2,15,0.1333333333
2161532,2,18,0.1111111111
2715382,2,18,0.1111111111
3239707,2,17,0.1176470588
2452832,3,18,0.1666666667
2719113,4,18,0.2222222222
3098810,2,18,0.1111111111
3232323,1,18,0.05555555556
1719026,1,18,0.05555555556
1724355,1,18,0.05555555556
2439736,7,18,0.3888888889
2163434,3,5,0.6
2140642,1,18,0.05555555556
3111383,1,18,0.05555555556
2558441,2,18,0.1111111111
3121340,2,18,0.1111111111
2720096,1,16,0.0625
3346189,1,18,0.05555555556
2452439,1,6,0.1666666667
1433399,3,18,0.1666666667
1571298,3,18,0.1666666667
2694822,2,18,0.1111111111
2140424,2,18,0.1111111111
2986508,1,18,0.05555555556
2158410,1,18,0.05555555556
1431059,2,18,0.1111111111
2142522,2,18,0.1111111111
3246498,2,15,0.1333333333
3424729,2,18,0.1111111111
3238211,1,18,0.05555555556
2854735,1,18,0.05555555556
2444769,1,18,0.05555555556
